id,name,price,original_price,discount,rating_average,review_count,brand,category
247316420,Túi 20 Khăn Giấy Nén Hàn Quốc Cao Cấp Loại Dày 2 Lớp 20*20cm - Hàng Chính Hãng,29000,49000,20000,4.8,9,lilahome,
243047801,Gối tựa lưng văn phòng cao su non A kích thước 34 x 34 cm x 6/10cm,145000,145000,0,4.6,63,A,
207941719,Bộ cây lau nhà Lock&Lock Mini Spin Mop & 4 bông lau sàn ETM498MITS2 - Màu xanh mint,662000,1019000,357000,4.5,130,LocknLock,
202519681,Đồng Hồ Báo Thức Để Bàn Có Đèn Đêm Deli - Thân Nhựa Kim Thiếc Cao Cấp Kiểu Dáng Tinh Tế - Có Nút Bấm Báo Lại Báo Thức,189000,340200,151200,4.7,38,Deli,
195109412,"Bộ nồi Inox dập nguyên khối Elmich Trimax Classic EL-2110OL Size 18, 20, 24, chảo 26cm",1880000,3550000,1670000,4.6,39,Elmich,
194818369,"Hộp Đựng Trang Sức Mini Cho Nữ, Đựng Vòng Cổ Nhẫn Bông Tai Hộp Đựng Đồ Trang Sức Có Khóa Kéo",75800,75800,0,4.5,26,HBH,
191918107,Bình lắc LocknLock Balance Shake It Bottle HAP949 800ml,174000,294000,120000,4.8,103,LocknLock,
190989561,Bình đựng thức ăn giữ nhiệt Inox 316 Elmich EL-8019 dung tích 600ml,291000,419000,128000,5.0,30,Elmich,
185653590,Chăn hè cotton chần bông LIDACO Home nhiều mẫu lựa chọn khổ rộng 2mx2m3,152000,250000,98000,4.7,109,LIDACO,
180378151,Bình giữ nhiệt LocknLock Metro Drive LHC4277S 650ml - Kèm ống hút và cọ rửa,410000,637000,227000,4.7,301,LocknLock,
169978766,"Túi Hút Chân Không Đựng Quần Áo, Chăn Ga Gối, Thú Bông Deli - Loại Dày Cao Cấp, Nhiều Hoạ Tiết, Bảo Vệ Quần Áo, Chăn Ga Khỏi Ẩm, Nấm Mốc, Chống Nước Tuyệt Đối",16000,28800,12800,4.7,251,Deli,
162405563,Cọ Bồn Cầu Toilet Nhà Vệ Sinh Cao Cấp Kèm Giá Cắm Chổi  Silicon - Hàng Loại 1 - Chính Hãng MINIIN,75000,75000,0,4.1,29,MINIIN,
140953145,COMBO11 Tấm lót sàn nhà vệ sinh 3T. Vỉ nhựa lót sàn chống trơn Trải Sàn Nhà Tắm/Vệ Sinh/Nhà Bếp,70000,70000,0,4.5,50,3T,
119030223,"Keo Dán Giày, Gỗ, Nhựa, Sứ Siêu Dính Chống Thấm Đa Năng Deli - 7Ml / 20Ml - 7140 / 7149 ",10000,18000,8000,4.6,303,Deli,
118210422,Kê đũa thìa sứ Long Phương AA6216 dụng cụ bàn ăn cao cấp,17500,17500,0,4.8,11,Long Phương,
106563599,"Bóng đèn Philips LED Bright E27 bảo vệ mắt, ánh sáng vàng, ánh sáng trắng (01 bóng)",70000,70000,0,4.8,154,Philips,
69240971,"Ổ khóa cao cấp Toplex, chống cắt tròn, size 40mm",80000,80000,0,4.5,20,TOPLEX,
68413077,"Đèn đọc sách mini, pin sạc tiện dụng Baseus Comfort Reading Mini Clip Lamp ( Dịu mắt, chân kẹp, 3 mức sáng, 350mAh, 24h sử dụng)hàng nhập khẩu",215000,248000,33000,4.7,192,Baseus,
55465365,Pin Max 8 + 4 Viên Energizer E92 BP8+4 AAA - Hàng Chính Hãng Model 2020,139000,139000,0,5.0,197,Energizer,
55427978,Combo Túi Lọc Rác cho bồn rửa chén bát,69749,69749,0,4.0,4,OEM,
26334551,Mền dù cao cấp  - mỏng nhẹ - thoáng mát - Cho giấc ngủ dễ chịu [chăn ga gối đệm],180000,180000,0,4.6,548,A,
3927949,"Bộ sạc Energizer Charger kèm 4 pin Ener AA 2000mAh, tự ngắt sạc (CHVCM4)",460000,460000,0,4.8,273,Energizer,
892141,Pin Max 8 + 4 Viên Energizer E92 BP8+4 AAA,139000,139000,0,5.0,103,Energizer,
718889,Thùng rác nhựa Fitis Compact PPS1-906 - xám - 10L,250000,250000,0,4.7,91,Fitis,
277821947,"Bộ dao, thìa, dĩa Elmich EL0002/0005  - Hàng chính hãng",249000,249000,0,5.0,1,Elmich,
277306388,"Bộ 4 chân đế chống rung cho máy giặt, tủ lạnh - Chân đỡ đa năng máy giặt, tủ lạnh",38500,38500,0,0.0,0,TIEN ANH HOUSE,
276155089,Đệm Lót Ngồi Ghế Gỗ OFFICE CHILL Nệm Lót Ngồi Ghế Văn Phòng Dưới Sàn Nhà Chất Liệu Cao Su Non,220000,220000,0,4.7,3,Office Chill,
275967918,Rổ Úp Bát Việt Nhật Kèm Khay Hứng Nước 3535 ,109000,135000,26000,4.7,3,Việt Nhật,
275569536,"Bao Ngón Tay Cao Su Tăng Độ Bám, Kháng Khuẩn, Dùng Được Cảm Ứng",21000,21000,0,0.0,0,NAVIVU,
275568737,KitchenAid - Tô gốm có nắp tre màu đen - 15cm (1L),367500,490000,122500,0.0,0,KitchenAid,
275427593,Đồng Hồ Pomodoro Hẹn Giờ 60 Phút Kim Loại Nhiều Kiểu Dáng,114000,120000,6000,5.0,8,NAVIVU,
